# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 6.514366742562715,7.6230556544480255,5.158115228644251,-0.6322687755138058,1.6478411738894314,-2.5000000000001403,-0.00008332417860806667,0.0,-0.007813160196112775,0.0
 6.522385304964426,7.636187800267522,5.1579702929140465,-0.6323314258263929,1.6277947678851552,-2.4999999999998894,-0.00007985998120814595,0.0,-0.007392911144614516,0.0
 6.53050941435515,7.649328881106805,5.157825244793655,-0.6323914866452477,1.607484494408347,-2.4999999999998908,-0.00007633712714942632,0.0,-0.006981461245818889,0.0
 6.538742888695589,7.662478524673384,5.157680088966002,-0.6324489683272739,1.5869008085572476,-2.500000000000081,-0.00007282932043500033,0.0,-0.006578774852551252,0.0
 6.547089802648878,7.675636358674769,5.157534830114013,-0.6325038807948862,1.5660335236740255,-2.50000000000008,-0.00006942452546693891,0.0,-0.006184822640602423,0.0
 6.555554512036102,7.688802010818466,5.15738947292061,-0.6325562335211504,1.5448717502059635,-2.5000000000000786,-0.00006604423379874604,0.0,-0.005799577054205519,0.0
 6.564141681367128,7.701975108811986,5.157244022068719,-0.6326060354713632,1.5234038268783994,-2.4999999999998965,-0.00006259359891314377,0.0,-0.005423032026703226,0.0
 6.572856314932688,7.715155280362836,5.157098482241264,-0.6326532952082902,1.5016172429644998,-2.5000000000001017,-0.000059263491492050975,0.0,-0.00505518272807439,0.0
 6.581703792037182,7.728342153178527,5.15695285812117,-0.6326980208217359,1.479498550203264,-2.5000000000001004,-0.0000558568225690031,0.0,-0.004696038464007453,0.0
 6.590689907066381,7.741535354966568,5.15680715439136,-0.632740219963555,1.4570332626302651,-2.499999999999975,-0.00005235714770881424,0.0,-0.004345616979438072,0.0
 6.599820915226124,7.754734513434464,5.1566613757347595,-0.6327798998276534,1.4342057422309094,-2.5000000000000244,-0.000049112635131897264,0.0,-0.004003951062453702,0.0
 6.6091035849644815,7.767939256289729,5.156515526834294,-0.6328170671830147,1.410999067885015,-2.499999999999952,-0.00004578113327017018,0.0,-0.0036710856411198006,0.0
 6.618545258310625,7.781149211239869,5.1563696123728855,-0.6328517283744638,1.387394884519657,-2.5000000000000235,-0.00004248246276085605,0.0,-0.0033470739062394016,0.0
 6.628153920641929,7.794364005992395,5.1562236370334595,-0.6328838892774268,1.3633732286913958,-2.5,-0.00003906937837375003,0.0,-0.00303198930434964,0.0
 6.637938281744115,7.807583268254813,5.156077605498942,-0.6329135553556385,1.3389123259359303,-2.5,-0.000035843923284505675,0.0,-0.002725920949492065,0.0
 6.647907870481427,7.820806625734633,5.155931522452255,-0.6329407316664354,1.3139883540926494,-2.5000000000000666,-0.00003267578800598182,0.0,-0.002428967883463753,0.0
 6.658073145977405,7.834033706139365,5.155785392576322,-0.6329654227941417,1.2885751653527056,-2.4999999999999343,-0.0000293780605220871,0.0,-0.002141254237268181,0.0
 6.668445628966845,7.847264137176516,5.155639220554073,-0.6329876329172939,1.2626439578791049,-2.500000000000107,-0.00002612994423944197,0.0,-0.0018629253453608685,0.0
 6.679038057979074,7.860497546553598,5.155493011068426,-0.6330073658217696,1.2361628853485318,-2.5,-0.00002268808431767494,0.0,-0.001594141688606454,0.0
 6.689864576340892,7.873733561978114,5.155346768802308,-0.6330246248260327,1.2090965894439873,-2.499999999999918,-0.000019258627897033146,0.0,-0.0013350945994543288,0.0
 6.700940957772799,7.886971811157579,5.155200498438644,-0.6330394128430639,1.181405635864221,-2.49999999999998,-0.000016220157681140562,0.0,-0.0010860031237119106,0.0
 6.712284880781021,7.9002119217995,5.155054204660359,-0.633051732378886,1.1530458283436655,-2.5000000000000586,-0.000012936753936770199,0.0,-0.0008471169002635758,0.0
 6.723916265397019,7.913453521611386,5.154907892150375,-0.6330615855213677,1.1239673668036696,-2.5000000000000573,-0.000009777823358061367,0.0,-0.0006187198517500396,0.0
 6.735857690501586,7.926696238300745,5.154761565591618,-0.6330689739181381,1.0941138040422527,-2.4999999999999813,-0.000005644541256938339,0.0,-0.0002470337288369061,0.0
 6.7607775487980435,7.953183533141914,5.1544688890594825,-0.6330751299636551,1.031814158301108,-2.5000000000000266,-0.8093832244899198,0.0,-71.01928286278209,-0.2781610616343114
 6.77371669265366,7.96632022725175,5.154112960787577,-1.5520038474479168,0.9994662986620664,-2.5000000000000173,-2.502670644489249,-0.0035991659915173813,-143.1343572534218,-0.8262128451197694
 6.786784668645917,7.979243370642344,5.153340096145118,-3.4224801917027943,0.9819014721112457,-1.34411224517308,-2.593009968647946,-0.014396095616037025,-145.73336109874435,-1.3727879707542463
 6.7998915640154065,7.991954241752057,5.152153651227936,-5.332592107468036,0.966099579075094,-1.2056167834326261,-2.678528198975226,-0.03238908391320644,-148.15839544296816,-1.9169046790961828
 6.813030561453851,8.00445411901926,5.150556982131863,-7.279244885677223,0.9520741345557531,-1.0674668737131234,-2.7580267584757183,-0.05757528958159323,-150.3849962375642,-2.459423241459534
 6.826194398120918,8.016744280882314,5.148553444952732,-9.25888841332597,0.9398361457838342,-0.9296673212708406,-2.830321178044631,-0.08995073542735446,-152.38962555379715,-3.001254884947637
 6.839375409091807,8.028826005779587,5.146146395786374,-11.2675377396003,0.9293938461204326,-0.7922229703369242,-2.8942792007278535,-0.12951030899228472,-154.1502942656789,-3.543354445844803
 6.852565581027231,8.040700572149447,5.1433391907286214,-13.3008066248608,0.9207524539054771,-0.6551387091284181,-2.9488605720111742,-0.17624776336112646,-155.6471890024999,-4.086711749212231
 6.865756615309819,8.052369258430256,5.140135185875305,-15.353954030981273,0.9139139648816509,-0.5184194716901614,-2.9931562014832913,-0.2301557181480413,-156.86327176146455,-4.632341893295844
 6.87893999942108,8.06383334306038,5.136537737322259,-17.42194279556174,0.908876986019136,-0.3820702499453435,-3.0264241607133093,-0.29122566066204525,-157.7848190285771,-5.181274681729629
 6.8921070848932695,8.07509410447819,5.132550201165312,-19.499508993924962,0.905636617620516,-0.24609610118079175,-3.048120000439206,-0.3594479472512706,-158.40186839468282,-5.734543500471695
 6.905249169798255,8.086152821122043,5.128175933500297,-21.58123979747622,0.9041843887917016,-0.11050216455864204,-3.057919157764222,-0.43481180482580223,-158.70854489399503,-6.293173974511105
